ar,kvartal,diagnoskapitel_kod,diagnoskapitel_text,lan_kod,lan_text,antal,andel,antal_kvinnor,andel_kvinnor,antal_man,andel_man
2005,1,Samtliga,Samtliga,05,Östergötlands län,11500,100,7412,100,4088,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,05,Östergötlands län,50,0.43,34,0.46,16,0.39
2005,1,C00-D48,Tumörer,05,Östergötlands län,421,3.66,292,3.94,129,3.16
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,05,Östergötlands län,..,..,15,0.2,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",05,Östergötlands län,109,0.95,72,0.97,37,0.91
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,05,Östergötlands län,3285,28.6,2258,30.5,1027,25.1
2005,1,G00-G99,Sjukdomar i nervsystemet,05,Östergötlands län,343,2.98,212,2.86,131,3.2
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,05,Östergötlands län,30,0.26,15,0.2,15,0.37
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,05,Östergötlands län,52,0.45,29,0.39,23,0.56
2005,1,I00-I99,Cirkulationsorganens sjukdomar,05,Östergötlands län,428,3.72,160,2.16,268,6.56
2005,1,J00-J99,Andningsorganens sjukdomar,05,Östergötlands län,146,1.27,85,1.15,61,1.49
2005,1,K00-K93,Matsmältningsorganens sjukdomar,05,Östergötlands län,181,1.57,109,1.47,72,1.76
2005,1,L00-L99,Hudens och underhudens sjukdomar,05,Östergötlands län,65,0.57,37,0.5,28,0.68
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,05,Östergötlands län,3607,31.4,2306,31.1,1301,31.8
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,05,Östergötlands län,69,0.6,49,0.66,20,0.49
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",05,Östergötlands län,92,0.8,92,1.24,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,05,Östergötlands län,-,-,-,-,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",05,Östergötlands län,..,..,..,..,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",05,Östergötlands län,411,3.57,277,3.74,134,3.28
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",05,Östergötlands län,760,6.61,406,5.48,354,8.66
2005,1,U00-U99,Koder för särskilda ändamål,05,Östergötlands län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,05,Östergötlands län,..,..,..,..,..,..
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,05,Östergötlands län,203,1.77,139,1.88,64,1.57
2005,1,-00--99,Saknas/Okänd,05,Östergötlands län,1211,10.5,817,11,394,9.64
2005,1,Samtliga,Samtliga,06,Jönköpings län,7135,100,4305,100,2830,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,06,Jönköpings län,42,0.59,20,0.46,22,0.78
2005,1,C00-D48,Tumörer,06,Jönköpings län,325,4.56,202,4.69,123,4.35
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,06,Jönköpings län,..,..,..,..,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",06,Jönköpings län,71,1,41,0.95,30,1.06
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,06,Jönköpings län,1880,26.3,1274,29.6,606,21.4
2005,1,G00-G99,Sjukdomar i nervsystemet,06,Jönköpings län,278,3.9,178,4.13,100,3.53
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,06,Jönköpings län,40,0.56,24,0.56,16,0.57
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,06,Jönköpings län,43,0.6,27,0.63,16,0.57
2005,1,I00-I99,Cirkulationsorganens sjukdomar,06,Jönköpings län,390,5.47,153,3.55,237,8.37
2005,1,J00-J99,Andningsorganens sjukdomar,06,Jönköpings län,106,1.49,62,1.44,44,1.55
2005,1,K00-K93,Matsmältningsorganens sjukdomar,06,Jönköpings län,87,1.22,49,1.14,38,1.34
2005,1,L00-L99,Hudens och underhudens sjukdomar,06,Jönköpings län,63,0.88,37,0.86,26,0.92
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,06,Jönköpings län,2425,34,1432,33.3,993,35.1
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,06,Jönköpings län,62,0.87,41,0.95,21,0.74
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",06,Jönköpings län,94,1.32,94,2.18,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,06,Jönköpings län,..,..,..,..,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",06,Jönköpings län,..,..,10,0.23,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",06,Jönköpings län,189,2.65,129,3,60,2.12
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",06,Jönköpings län,678,9.5,325,7.55,353,12.5
2005,1,U00-U99,Koder för särskilda ändamål,06,Jönköpings län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,06,Jönköpings län,..,..,..,..,-,-
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,06,Jönköpings län,90,1.26,60,1.39,30,1.06
2005,1,-00--99,Saknas/Okänd,06,Jönköpings län,237,3.32,133,3.09,104,3.67
2005,1,Samtliga,Samtliga,07,Kronobergs län,4420,100,2824,100,1596,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,07,Kronobergs län,..,..,..,..,..,..
2005,1,C00-D48,Tumörer,07,Kronobergs län,156,3.53,100,3.54,56,3.51
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,07,Kronobergs län,..,..,..,..,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",07,Kronobergs län,57,1.29,37,1.31,20,1.25
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,07,Kronobergs län,1322,29.9,945,33.5,377,23.6
2005,1,G00-G99,Sjukdomar i nervsystemet,07,Kronobergs län,137,3.1,77,2.73,60,3.76
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,07,Kronobergs län,..,..,23,0.81,..,..
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,07,Kronobergs län,..,..,..,..,..,..
2005,1,I00-I99,Cirkulationsorganens sjukdomar,07,Kronobergs län,221,5,86,3.05,135,8.46
2005,1,J00-J99,Andningsorganens sjukdomar,07,Kronobergs län,56,1.27,31,1.1,25,1.57
2005,1,K00-K93,Matsmältningsorganens sjukdomar,07,Kronobergs län,60,1.36,40,1.42,20,1.25
2005,1,L00-L99,Hudens och underhudens sjukdomar,07,Kronobergs län,28,0.63,18,0.64,10,0.63
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,07,Kronobergs län,1431,32.4,887,31.4,544,34.1
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,07,Kronobergs län,40,0.9,27,0.96,13,0.81
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",07,Kronobergs län,60,1.36,60,2.12,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,07,Kronobergs län,..,..,..,..,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",07,Kronobergs län,..,..,..,..,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",07,Kronobergs län,170,3.85,123,4.36,47,2.94
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",07,Kronobergs län,326,7.38,156,5.52,170,10.7
2005,1,U00-U99,Koder för särskilda ändamål,07,Kronobergs län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,07,Kronobergs län,..,..,..,..,..,..
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,07,Kronobergs län,97,2.19,72,2.55,25,1.57
2005,1,-00--99,Saknas/Okänd,07,Kronobergs län,183,4.14,117,4.14,66,4.14
2005,1,Samtliga,Samtliga,08,Kalmar län,6554,100,3986,100,2568,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,08,Kalmar län,24,0.37,10,0.25,14,0.55
2005,1,C00-D48,Tumörer,08,Kalmar län,265,4.04,157,3.94,108,4.21
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,08,Kalmar län,..,..,12,0.3,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",08,Kalmar län,71,1.08,44,1.1,27,1.05
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,08,Kalmar län,1622,24.7,1092,27.4,530,20.6
2005,1,G00-G99,Sjukdomar i nervsystemet,08,Kalmar län,218,3.33,136,3.41,82,3.19
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,08,Kalmar län,29,0.44,14,0.35,15,0.58
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,08,Kalmar län,52,0.79,33,0.83,19,0.74
2005,1,I00-I99,Cirkulationsorganens sjukdomar,08,Kalmar län,294,4.49,99,2.48,195,7.59
2005,1,J00-J99,Andningsorganens sjukdomar,08,Kalmar län,102,1.56,56,1.4,46,1.79
2005,1,K00-K93,Matsmältningsorganens sjukdomar,08,Kalmar län,99,1.51,57,1.43,42,1.64
2005,1,L00-L99,Hudens och underhudens sjukdomar,08,Kalmar län,63,0.96,35,0.88,28,1.09
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,08,Kalmar län,2491,38,1548,38.8,943,36.7
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,08,Kalmar län,44,0.67,26,0.65,18,0.7
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",08,Kalmar län,56,0.85,56,1.4,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,08,Kalmar län,-,-,-,-,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",08,Kalmar län,..,..,..,..,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",08,Kalmar län,206,3.14,142,3.56,64,2.49
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",08,Kalmar län,477,7.28,217,5.44,260,10.1
2005,1,U00-U99,Koder för särskilda ändamål,08,Kalmar län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,08,Kalmar län,..,..,..,..,..,..
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,08,Kalmar län,121,1.85,73,1.83,48,1.87
2005,1,-00--99,Saknas/Okänd,08,Kalmar län,291,4.44,175,4.39,116,4.52
2005,1,Samtliga,Samtliga,09,Gotlands län,1258,100,792,100,466,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,09,Gotlands län,..,..,..,..,..,..
2005,1,C00-D48,Tumörer,09,Gotlands län,63,5.01,43,5.43,20,4.29
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,09,Gotlands län,..,..,..,..,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",09,Gotlands län,..,..,11,1.39,..,..
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,09,Gotlands län,308,24.5,222,28,86,18.5
2005,1,G00-G99,Sjukdomar i nervsystemet,09,Gotlands län,39,3.1,23,2.9,16,3.43
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,09,Gotlands län,..,..,..,..,-,-
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,09,Gotlands län,..,..,..,..,..,..
2005,1,I00-I99,Cirkulationsorganens sjukdomar,09,Gotlands län,62,4.93,22,2.78,40,8.58
2005,1,J00-J99,Andningsorganens sjukdomar,09,Gotlands län,24,1.91,14,1.77,10,2.15
2005,1,K00-K93,Matsmältningsorganens sjukdomar,09,Gotlands län,..,..,..,..,13,2.79
2005,1,L00-L99,Hudens och underhudens sjukdomar,09,Gotlands län,..,..,..,..,..,..
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,09,Gotlands län,336,26.7,216,27.3,120,25.8
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,09,Gotlands län,..,..,12,1.52,..,..
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",09,Gotlands län,25,1.99,25,3.16,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,09,Gotlands län,-,-,-,-,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",09,Gotlands län,-,-,-,-,-,-
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",09,Gotlands län,45,3.58,27,3.41,18,3.86
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",09,Gotlands län,91,7.23,46,5.81,45,9.66
2005,1,U00-U99,Koder för särskilda ändamål,09,Gotlands län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,09,Gotlands län,-,-,-,-,-,-
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,09,Gotlands län,..,..,27,3.41,..,..
2005,1,-00--99,Saknas/Okänd,09,Gotlands län,142,11.3,70,8.84,72,15.5
2005,1,Samtliga,Samtliga,10,Blekinge län,4414,100,2795,100,1619,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,10,Blekinge län,..,..,..,..,..,..
2005,1,C00-D48,Tumörer,10,Blekinge län,166,3.76,95,3.4,71,4.39
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,10,Blekinge län,..,..,..,..,..,..
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",10,Blekinge län,56,1.27,29,1.04,27,1.67
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,10,Blekinge län,1336,30.3,930,33.3,406,25.1
2005,1,G00-G99,Sjukdomar i nervsystemet,10,Blekinge län,159,3.6,96,3.43,63,3.89
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,10,Blekinge län,..,..,..,..,..,..
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,10,Blekinge län,27,0.61,10,0.36,17,1.05
2005,1,I00-I99,Cirkulationsorganens sjukdomar,10,Blekinge län,215,4.87,71,2.54,144,8.89
2005,1,J00-J99,Andningsorganens sjukdomar,10,Blekinge län,64,1.45,34,1.22,30,1.85
2005,1,K00-K93,Matsmältningsorganens sjukdomar,10,Blekinge län,74,1.68,35,1.25,39,2.41
2005,1,L00-L99,Hudens och underhudens sjukdomar,10,Blekinge län,30,0.68,18,0.64,12,0.74
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,10,Blekinge län,1391,31.5,920,32.9,471,29.1
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,10,Blekinge län,33,0.75,20,0.72,13,0.8
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",10,Blekinge län,73,1.65,73,2.61,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,10,Blekinge län,-,-,-,-,-,-
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",10,Blekinge län,..,..,..,..,..,..
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",10,Blekinge län,121,2.74,82,2.93,39,2.41
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",10,Blekinge län,325,7.36,162,5.8,163,10.1
2005,1,U00-U99,Koder för särskilda ändamål,10,Blekinge län,-,-,-,-,-,-
2005,1,V01-Y98,Yttre orsaker till sjukdom och död,10,Blekinge län,..,..,..,..,-,-
2005,1,Z00-Z99,Faktorer av betydelse för hälsotillståndet och för kontakter med hälso- och sjukvården,10,Blekinge län,90,2.04,70,2.5,20,1.24
2005,1,-00--99,Saknas/Okänd,10,Blekinge län,216,4.89,129,4.62,87,5.37
2005,1,Samtliga,Samtliga,12,Skåne län,29688,100,18912,100,10776,100
2005,1,A00-B99,Vissa infektionssjukdomar och parasitsjukdomar,12,Skåne län,140,0.47,72,0.38,68,0.63
2005,1,C00-D48,Tumörer,12,Skåne län,1146,3.86,739,3.91,407,3.78
2005,1,D50-D89,Sjukdomar i blod och blodbildande organ samt vissa rubbningar i immunsystemet,12,Skåne län,74,0.25,47,0.25,27,0.25
2005,1,E00-E90,"Endokrina sjukdomar, nutritionsrubbningar och ämnesomsättningssjukdomar",12,Skåne län,338,1.14,211,1.12,127,1.18
2005,1,F00-F99,Psykiska sjukdomar och syndrom samt beteendestörningar,12,Skåne län,8464,28.5,5891,31.1,2573,23.9
2005,1,G00-G99,Sjukdomar i nervsystemet,12,Skåne län,783,2.64,503,2.66,280,2.6
2005,1,H00-H59,Sjukdomar i ögat och närliggande organ,12,Skåne län,122,0.41,74,0.39,48,0.45
2005,1,H60-H95,Sjukdomar i örat och mastoidutskottet,12,Skåne län,232,0.78,143,0.76,89,0.83
2005,1,I00-I99,Cirkulationsorganens sjukdomar,12,Skåne län,1216,4.1,474,2.51,742,6.89
2005,1,J00-J99,Andningsorganens sjukdomar,12,Skåne län,406,1.37,232,1.23,174,1.61
2005,1,K00-K93,Matsmältningsorganens sjukdomar,12,Skåne län,499,1.68,282,1.49,217,2.01
2005,1,L00-L99,Hudens och underhudens sjukdomar,12,Skåne län,186,0.63,115,0.61,71,0.66
2005,1,M00-M99,Sjukdomar i muskuloskeletala systemet och bindväven,12,Skåne län,8796,29.6,5543,29.3,3253,30.2
2005,1,N00-N99,Sjukdomar i urin- och könsorganen,12,Skåne län,176,0.59,108,0.57,68,0.63
2005,1,O00-O99,"Graviditet, förlossning och barnsängstid",12,Skåne län,496,1.67,496,2.62,-,-
2005,1,P00-P96,Vissa perinatala tillstånd,12,Skåne län,..,..,..,..,..,..
2005,1,Q00-Q99,"Medfödda missbildningar, deformiteter och kromosomavvikelser",12,Skåne län,47,0.16,28,0.15,19,0.18
2005,1,R00-R99,"Symtom, sjukdomstecken och onormala kliniska fynd och laboratoriefynd som ej klassificeras annorstädes",12,Skåne län,860,2.9,573,3.03,287,2.66
2005,1,S00-T98,"Skador, förgiftningar och vissa andra följder av yttre orsaker",12,Skåne län,1785,6.01,854,4.52,931,8.64
2005,1,U00-U99,Koder för särskilda ändamål,12,Skåne län,-,-,-,-,-,-
